"","X","Subclass","Superorder","Order","Family","Genus","EDGE_Scientific_name","IUCN_Scientific_name","Red.List.status","status.color","mean","median","five.percent","ninety.five.percent","min","max","EDGEScientificName","IUCNScientificName","habitat2","TLmax_cm","mindepth_m","maxdepth_m","mediandepth_m","depthrange_m","l10TLmax_cm","l10mindepth_m","l10maxdepth_m","l10depthrange_m","rlbincat3","predict","predictTLMin","thr_tl","thr_tlmindep","thr_tlcol","thr_tlmindepcol","Red.List.status.new","Red.List.status.new.color","Data.type","area.x","Shape_Leng","Shape_Area","area.y","mi.lat","max.lat","lat.range","G.species"
"142",449,"Elasmobranchii","Batoidea","Myliobatiformes","Gymnuridae","Gymnura","Gymnura_japonica","Gymnura japonica","DD","#D1D1C6",53.68109805,48.47224135,27.49978191,91.84918027,15.77923533,119.6267208,"Gymnura japonica","Gymnura japonica","Coastal and Continental",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"molecular",1420840,485.2797915,129.0078279,1420840,1.031805491,42.68949421,41.65768872,"Gymnura_japonica"
"143",586,"Elasmobranchii","Galeomorphs","Orectolobiformes","Hemiscylliidae","Chiloscyllium","Chiloscyllium_punctatum","Chiloscyllium punctatum","NT","#CCE226",46.31046351,48.3669113,28.58492415,60.09645543,19.19691738,72.31710484,"Chiloscyllium punctatum","Chiloscyllium punctatum","Coastal and Continental",105,1,85,43,84,2.021189299,0,1.929418926,"1.924279286",NA,0.37239459,0.571258873,"notTHR","THR","green","red","NT","#CCE226","molecular",7363490,1900.370603,618.2083173,7363490,-29.37777691,34.79100037,64.16877728,"Chiloscyllium_punctatum"
"144",61,"Elasmobranchii","Galeomorphs","Carcharhiniformes","Hemigaleidae","Hemigaleus","Hemigaleus_australiensis","Hemigaleus australiensis","LC","#60C659",47.13239904,48.35928247,34.02488073,58.06619574,33.45395432,69.95260584,"Hemigaleus australiensis","Hemigaleus australiensis","Coastal and Continental",110,1,170,85.5,169,2.041392685,0,2.230448921,"2.227886705",0,0.381025029,0.577130083,"notTHR","THR","green","red","LC","#60C659","molecular",1451190,395.0968868,123.3149336,1451190,-28.70452829,-9.736424996,18.9681033,"Hemigaleus_australiensis"
"145",62,"Elasmobranchii","Galeomorphs","Carcharhiniformes","Hemigaleidae","Hemigaleus","Hemigaleus_microstoma","Hemigaleus microstoma","VU","#F9E814",47.13239904,48.35928247,34.02488073,58.06619574,33.45395432,69.95260584,"Hemigaleus microstoma","Hemigaleus microstoma","Coastal and Continental",100,1,170,85.5,169,2,0,2.230448921,"2.227886705",1,0.363429641,0.565079554,"notTHR","THR","green","red","VU","#F9E814","molecular",4299830,1109.857427,358.9162554,4299830,-10.23612503,30.00152779,40.23765281,"Hemigaleus_microstoma"
"146",989,"Elasmobranchii","Squalimorphs","Squaliformes","Centrophoridae","Deania","Deania_profundorum","Deania profundorum","LC","#60C659",43.80387869,48.30474347,19.3324412,57.96959778,18.86313193,70.33769225,"Deania profundorum","Deania profundorum","Deepwater",97,275,1785,1030,1510,1.986771734,2.439332694,3.25163822,"3.178976947",0,0.357880196,0.165106048,"notTHR","notTHR","green","green","LC","#60C659","molecular",1166760,361.001323,97.72110847,1166760,-30.43572322,34.88406504,65.31978826,"Deania_profundorum"
"147",990,"Elasmobranchii","Squalimorphs","Squaliformes","Centrophoridae","Deania","Deania_quadrispinosa","Deania quadrispinosa","NT","#CCE226",43.80387869,48.30474347,19.3324412,57.96959778,18.86313193,70.33769225,"Deania quadrispinosa","Deania quadrispinosa","Deepwater",114,150,1360,755,1210,2.056904851,2.176091259,3.133538908,"3.08278537",NA,0.387703189,0.208185128,"notTHR","notTHR","green","green","NT","#CCE226","molecular",1715050,484.5130291,168.1519796,1715050,-44.89878191,-17.70561688,27.19316503,"Deania_quadrispinosa"
"148",69,"Elasmobranchii","Galeomorphs","Carcharhiniformes","Proscyllidae","Ctenacis","Ctenacis_fehlmanni","Ctenacis fehlmanni","DD","#D1D1C6",52.30494089,48.29411853,24.63920936,93.97464347,13.59107812,141.6583138,"Ctenacis fehlmanni","Ctenacis fehlmanni","Coastal and Continental",46,70,170,120,100,1.662757832,1.84509804,2.230448921,"2",NA,0.236117491,0.174930265,"notTHR","notTHR","green","green","notTHR","#90E2F6","taxonomic",142859,25.64159119,11.83732705,142859,7.55044794,13.61374794,6.0633,"Ctenacis_fehlmanni"
"149",211,"Elasmobranchii","Galeomorphs","Carcharhiniformes","Scyliorhinidae","Schroederichthys","Schroederichthys_saurisqualus","Schroederichthys saurisqualus","VU","#F9E814",52.66587355,48.23931265,29.71810528,90.85205792,23.10558772,180.9793104,"Schroederichthys saurisqualus","Schroederichthys saurisqualus","Deepwater",69,250,500,375,250,1.838849091,2.397940009,2.698970004,"2.397940009",1,0.298656083,0.146182529,"notTHR","notTHR","green","green","VU","#F9E814","taxonomic",272136,37.89063373,24.85373156,272136,-32.06585206,-23.33317267,8.73267939,"Schroederichthys_saurisqualus"
"150",303,"Holocephali","Holocephali","Chimaeriformes","Chimaeridae","Hydrolagus","Hydrolagus_barbouri","Hydrolagus barbouri","DD","#D1D1C6",50.59369863,48.19046127,27.81018051,80.14216113,18.47689226,97.20530899,"Hydrolagus barbouri","Hydrolagus barbouri","Deepwater",86,250,1100,675,850,1.934498451,2.397940009,3.041392685,"2.929418926",NA,0.33633225,0.160950643,"notTHR","notTHR","green","green","notTHR","#90E2F6","molecular",1184950,164.6836735,121.6690455,1184950,23.04953699,51.63871825,28.58918126,"Hydrolagus_barbouri"
"151",212,"Elasmobranchii","Galeomorphs","Carcharhiniformes","Scyliorhinidae","Schroederichthys","Schroederichthys_tenuis","Schroederichthys tenuis","DD","#D1D1C6",52.55896737,48.18523342,29.598597,90.00657765,23.10558772,178.8251034,"Schroederichthys tenuis","Schroederichthys tenuis","Deepwater",47,72,450,261,378,1.672097858,1.857332496,2.653212514,"2.5774918",NA,0.23919621,0.175181357,"notTHR","notTHR","green","green","notTHR","#90E2F6","taxonomic",523515,97.68572417,42.64523867,523515,-2.162069559,8.41994794,10.5820175,"Schroederichthys_tenuis"
