"","toppID","TOPP.ID","serialNumber","commonName","yearDeployed","project","isDrifter","firstDetectionTime","firstDetectionLong","firstDetectionLat","numberDetections"
"204","1703001","1703001",41727,"Salmon Shark",2003,1,1,"2004-02-17T06:52:01Z","224.273","35.484",6
"205","1703002","1703002",41664,"Salmon Shark",2003,1,0,"2003-09-03T19:28:21Z","218.093","51.11",2
"206","1703004","1703004",41665,"Salmon Shark",2003,1,0,"2003-09-07T15:27:56Z","213.588","59.798",32
"207","1703005","1703005",41666,"Salmon Shark",2003,1,0,"2003-09-14T16:51:44Z","213.914","60.741",40
"208","1703006","1703006",41669,"Salmon Shark",2003,1,0,"2003-08-17T19:51:33Z","213.906","60.729",3
"209","1703007","1703007",41668,"Salmon Shark",2003,1,0,"2003-08-20T04:56:39Z","213.337","60.427",8
"210","1703008","1703008",41672,"Salmon Shark",2003,1,0,"2003-09-11T15:44:10Z","213.953","60.647",13
"211","1703009","1703009",41675,"Salmon Shark",2003,1,0,"2003-10-01T10:11:32Z","210.476","59.682",29
"212","1703010","1703010",41670,"Salmon Shark",2003,1,0,"2003-08-21T20:55:04Z","213.377","60.098",66
"213","1703011","1703011",41733,"Salmon Shark",2003,1,1,"2004-02-20T20:11:50Z","225.748","43.05",8
"214","1703012","1703012",41663,"Salmon Shark",2003,1,0,"2003-11-04T15:25:25Z","206.948","58.357",13
"215","1703013","1703013",41677,"Salmon Shark",2003,1,0,"2004-01-07T08:47:34Z","210.648","40.126",38
"216","1703014","1703014",41673,"Salmon Shark",2003,1,0,"2003-08-26T17:36:47Z","215.21","59.712",6
"217","1703015","1703015",41671,"Salmon Shark",2003,1,0,"2003-08-27T07:09:36Z","219.395","58.901",9
"218","1703016","1703016",41674,"Salmon Shark",2003,1,0,"2003-08-20T19:58:07Z","213.564","60.549",18
"219","1704001","1704001",41726,"Salmon Shark",2004,1,1,"2005-04-11T15:36:47Z","235.332","42.363",6
"220","1704002","1704002",52155,"Salmon Shark",2004,1,0,"2004-07-28T22:28:07Z","213.305","60.423",49
"221","1704003","1704003",52137,"Salmon Shark",2004,1,0,"2004-09-26T05:56:57Z","213.293","60.536",1
"222","1704005","1704005",52139,"Salmon Shark",2004,1,0,"2004-07-15T13:14:17Z","213.687","60.014",63
"223","1704007","1704007",52151,"Salmon Shark",2004,1,0,"2004-07-18T03:42:11Z","213.831","59.864",36
"224","1704008","1704008",52140,"Salmon Shark",2004,1,0,"2004-08-17T01:05:30Z","213.617","60.536",27
"225","1704009","1704009",41724,"Salmon Shark",2004,1,1,"2005-04-10T00:48:09Z","212.696","60.577",6
"226","1704011","1704011",52142,"Salmon Shark",2004,1,0,"2004-07-16T09:59:17Z","213.643","60.631",38
"227","1704012","1704012",41731,"Salmon Shark",2004,1,1,"2005-03-02T21:17:41Z","207.364","59.095",4
"228","1704013","1704013",52144,"Salmon Shark",2004,1,0,"2005-01-17T01:40:11Z","212.667","59.619",7
"229","1704014","1704014",52149,"Salmon Shark",2004,1,0,"2004-11-18T05:47:13Z","215.667","57.915",29
"230","1704015","1704015",52145,"Salmon Shark",2004,1,0,"2004-07-18T12:46:24Z","213.719","60.564",5
"231","1704017","1704017",52141,"Salmon Shark",2004,1,0,"2004-09-23T17:46:10Z","209.575","59.443",49
"232","1704018","1704018",52148,"Salmon Shark",2004,1,0,"2004-08-02T23:08:05Z","217.393","55.119",3
"233","1704019","1704019",52147,"Salmon Shark",2004,1,0,"2004-08-13T23:07:30Z","213.718","60.695",6
"234","1704020","1704020",52146,"Salmon Shark",2004,1,0,"2004-10-12T11:28:00Z","215.048","59.992",50
"235","1704021","1704021",52153,"Salmon Shark",2004,1,0,"2004-08-27T21:04:55Z","221.072","51.221",59
"236","1704023","1704023",41733,"Salmon Shark",2004,1,1,"2004-11-15T05:59:31Z","207.572","57.997",3
"237","1704024","1704024",41748,"Salmon Shark",2004,1,1,"2005-01-09T12:59:38Z","195.532","45.698",7
"238","1704025","1704025",52941,"Salmon Shark",2004,1,0,"2004-11-23T14:33:30Z","206.634","58.557",32
"239","1704026","1704026",52942,"Salmon Shark",2004,1,0,"2005-01-15T23:18:09Z","212.627","42.491",6
