deployment_project_reference,datacenter_reference,deployment_id,deployment_guid,receiver_manufacturer,receiver_model,frequencies_monitored,receiver_coding_scheme,receiver_serial_number,latitude,longitude,time,recovery_datetime_utc,array_name,receiver_reference_type,receiver_reference_id,bottom_depth,depth,deployment_comments,deployed_by,expected_receiver_life
,,,,,,,,,degrees_north,degrees_east,UTC,UTC,,,,m,m,,,
ASF,OTN-Global,ASF-SOBI 17-2016-VR2W-120019,OTN-GlobalASFASF-SOBI 17-2016-VR2W-120019,VEMCO,VR2W,,,120019,51.451945,-56.750305,2016-06-16T12:45:00Z,2016-08-31T18:18:00Z,ASF,ManmadePlatform,ASF_SOBI 17-2016,52.7,NaN,,,NaN
ASF,OTN-Global,ASF-SOBI 18-2016-VR2W-120029,OTN-GlobalASFASF-SOBI 18-2016-VR2W-120029,VEMCO,VR2W,,,120029,51.4560133,-56.7583933,2016-06-16T12:50:00Z,2016-08-31T18:35:00Z,ASF,ManmadePlatform,ASF_SOBI 18-2016,62.2,NaN,,,NaN
ASF,OTN-Global,ASF-SOBI 19-2016-VR2W-120031,OTN-GlobalASFASF-SOBI 19-2016-VR2W-120031,VEMCO,VR2W,,,120031,51.46136,-56.7676517,2016-06-16T12:55:00Z,2016-08-31T18:46:00Z,ASF,ManmadePlatform,ASF_SOBI 19-2016,70.7,NaN,,,NaN
ASF,OTN-Global,SBX022-250010-1,OTN-GlobalASFSBX022-250010-1,VEMCO,VR4,,,250010,51.47068,-56.78579,2011-06-16T10:00:18Z,,ASF,ManmadePlatform,ASF_SBX022,106.1,102.1,acoustic release did not respond.  VR4 indicates 10% battery remaining,,NaN
ASF,OTN-Global,SBX024-250009-1,OTN-GlobalASFSBX024-250009-1,VEMCO,VR4,,,250009,51.47629,-56.79601,2011-06-16T10:08:09Z,,ASF,ManmadePlatform,ASF_SBX024,116.7,112.7,acoustic release did not respond.  VR4 indicates 10% battery remaining,,NaN
ASF,OTN-Global,ASF-Barnaby Isl.-2016-VR2W-108599,OTN-GlobalASFASF-Barnaby Isl.-2016-VR2W-108599,VEMCO,VR2W,,,108599,46.910899,-65.621778,2016-04-25T18:27:00Z,2016-08-13T14:32:00Z,ASF,ManmadePlatform,ASF_Barnaby Isl.-2016,4.0,NaN,,,NaN
ASF,OTN-Global,ASF-BLW Little Sevogle-2016-VR2W-108604,OTN-GlobalASFASF-BLW Little Sevogle-2016-VR2W-108604,VEMCO,VR2W,,,108604,47.01257,-65.83742,2016-05-17T14:25:00Z,2016-06-07T00:00:00Z,ASF,ManmadePlatform,ASF_BLW Little Sevogle-2016,NaN,NaN,,,NaN
ASF,OTN-Global,ASF-Casc 1-2016-VR2W-113157,OTN-GlobalASFASF-Casc 1-2016-VR2W-113157,VEMCO,VR2W,,,113157,48.2084,-65.90534,2016-06-01T18:39:00Z,2016-06-22T18:05:00Z,ASF,ManmadePlatform,ASF_Casc 1-2016,4.0,NaN,,,NaN
ASF,OTN-Global,ASF-Cassilis-2016-VR2W-108608,OTN-GlobalASFASF-Cassilis-2016-VR2W-108608,VEMCO,VR2W,,,108608,46.935046,-65.783067,2016-04-26T10:29:00Z,2016-08-13T16:01:00Z,ASF,ManmadePlatform,ASF_Cassilis-2016,2.0,NaN,Temp logger 356467,,NaN
ASF,OTN-Global,ASF-Cassilis B-2016-VR2W-124877,OTN-GlobalASFASF-Cassilis B-2016-VR2W-124877,VEMCO,VR2W,,,124877,46.935046,-65.783067,2016-04-26T10:29:00Z,2016-08-13T16:01:00Z,ASF,ManmadePlatform,ASF_Cassilis B-2016,2.0,NaN,,,NaN
ASF,OTN-Global,ASF-CB10-2016-VR2W-113171,OTN-GlobalASFASF-CB10-2016-VR2W-113171,VEMCO,VR2W,,,113171,47.8749883,-65.2629433,2016-05-13T14:42:00Z,2016-09-20T11:34:00Z,ASF,ManmadePlatform,ASF_CB10-2016,76.2,NaN,,,NaN
ASF,OTN-Global,ASF-CB11-2016-VR2W-119975,OTN-GlobalASFASF-CB11-2016-VR2W-119975,VEMCO,VR2W,,,119975,47.881245,-65.26898,2016-05-13T14:46:00Z,2016-09-20T11:42:00Z,ASF,ManmadePlatform,ASF_CB11-2016,73.152,NaN,,,NaN
ASF,OTN-Global,ASF-CB1-2016-VR2W-113161,OTN-GlobalASFASF-CB1-2016-VR2W-113161,VEMCO,VR2W,,,113161,47.817185,-65.2099033,2016-05-13T14:13:00Z,,ASF,ManmadePlatform,ASF_CB1-2016,7.9248,NaN,,,NaN
ASF,OTN-Global,ASF-CB12-2016-VR2W-119976,OTN-GlobalASFASF-CB12-2016-VR2W-119976,VEMCO,VR2W,,,119976,47.887775,-65.2748283,2016-05-13T14:49:00Z,2016-09-20T11:50:00Z,ASF,ManmadePlatform,ASF_CB12-2016,71.628,NaN,,,NaN
ASF,OTN-Global,ASF-CB13-2016-VR2W-119977,OTN-GlobalASFASF-CB13-2016-VR2W-119977,VEMCO,VR2W,,,119977,47.89413,-65.28072,2016-05-13T14:53:00Z,2016-09-20T11:56:00Z,ASF,ManmadePlatform,ASF_CB13-2016,73.152,NaN,,,NaN
ASF,OTN-Global,ASF-CB14-2016-VR2W-120000,OTN-GlobalASFASF-CB14-2016-VR2W-120000,VEMCO,VR2W,,,120000,47.9006767,-65.286695,2016-05-13T14:56:00Z,2016-09-20T12:05:00Z,ASF,ManmadePlatform,ASF_CB14-2016,73.152,NaN,,,NaN
ASF,OTN-Global,ASF-CB15-2016-VR2W-120002,OTN-GlobalASFASF-CB15-2016-VR2W-120002,VEMCO,VR2W,,,120002,47.9070883,-65.29259,2016-05-13T15:00:00Z,2016-09-20T12:11:00Z,ASF,ManmadePlatform,ASF_CB15-2016,73.152,NaN,,,NaN
ASF,OTN-Global,ASF-CB16-2016-VR2W-120003,OTN-GlobalASFASF-CB16-2016-VR2W-120003,VEMCO,VR2W,,,120003,47.9133733,-65.2984,2016-05-13T15:03:00Z,2016-09-20T12:20:00Z,ASF,ManmadePlatform,ASF_CB16-2016,73.152,NaN,,,NaN
ASF,OTN-Global,ASF-2014 Barnaby Island-VR2W-120006-2014,OTN-GlobalASFASF-2014 Barnaby Island-VR2W-120006-2014,VEMCO,VR2W,,,120006,46.91093,-65.62212,2014-05-05T13:54:00Z,2014-10-07T19:25:00Z,ASF,ManmadePlatform,ASF_ASF-2014 Barnaby Island,4.0,NaN,,,NaN
ASF,OTN-Global,ASF-Neguac 3-VR2W-120008-2014,OTN-GlobalASFASF-Neguac 3-VR2W-120008-2014,VEMCO,VR2W,,,120008,47.20588,-65.04627,2014-05-12T14:50:00Z,2014-08-07T11:55:00Z,ASF,ManmadePlatform,ASF_ASF-Neguac 3,NaN,NaN,,,NaN
ASF,OTN-Global,ASF-S. Portage 2-VR2W-100701-2013,OTN-GlobalASFASF-S. Portage 2-VR2W-100701-2013,VEMCO,VR2W,,,100701,47.14215,-65.04465,2013-04-22T20:27:00Z,,ASF,ManmadePlatform,ASF_ASF-S. Portage 2,NaN,6.0,,,NaN
ASF,OTN-Global,ASF-S. Portage 1-VR2W-105402-2013,OTN-GlobalASFASF-S. Portage 1-VR2W-105402-2013,VEMCO,VR2W,,,105402,47.14143,-65.05323,2013-04-22T20:38:00Z,2013-05-29T00:00:00Z,ASF,ManmadePlatform,ASF_ASF-S. Portage 1,NaN,6.0,"Reported lost but obviously found, no information about when or where found",,NaN
ASF,OTN-Global,ASF-CB27-VR2-1565-2011,OTN-GlobalASFASF-CB27-VR2-1565-2011,VEMCO,VR2,,,1565,47.98288,-65.36173,2011-05-18T00:00:00Z,2011-07-16T00:00:00Z,ASF,ManmadePlatform,ASF_ASF-CB27,NaN,NaN,,,NaN
ASF,OTN-Global,ASF-Dalhousie 3-VR2W-113159-2011,OTN-GlobalASFASF-Dalhousie 3-VR2W-113159-2011,VEMCO,VR2W,,,113159,48.06797,-66.33485,2011-05-17T00:00:00Z,2011-06-23T00:00:00Z,ASF,ManmadePlatform,ASF_ASF-Dalhousie 3,NaN,NaN,,,NaN
ASF,OTN-Global,ASF-DOUGLASTOWN 1-VR2-1111-2008,OTN-GlobalASFASF-DOUGLASTOWN 1-VR2-1111-2008,VEMCO,VR2,,,1111,47.02195,-65.49835,2008-04-30T00:00:00Z,2008-10-08T00:00:00Z,ASF,ManmadePlatform,ASF_ASF-DOUGLASTOWN 1,NaN,NaN,,,NaN
ASF,OTN-Global,ASF-ESCUMINAC POINT 2-VR2-3611-2008,OTN-GlobalASFASF-ESCUMINAC POINT 2-VR2-3611-2008,VEMCO,VR2,,,3611,47.08813,-64.79213,2008-05-05T00:00:00Z,2008-08-19T00:00:00Z,ASF,ManmadePlatform,ASF_ASF-ESCUMINAC POINT 2,NaN,NaN,,,NaN
ASF,OTN-Global,ASF-Huckleberry Gully 1-VR2W-109401-2011,OTN-GlobalASFASF-Huckleberry Gully 1-VR2W-109401-2011,VEMCO,VR2W,,,109401,47.07718,-64.95342,2011-04-30T00:00:00Z,2011-08-27T00:00:00Z,ASF,ManmadePlatform,ASF_ASF-Huckleberry Gully 1,NaN,NaN,,,NaN
ASF,OTN-Global,ASF-NEAR DOYLES BROOK-VR2-1118-2008,OTN-GlobalASFASF-NEAR DOYLES BROOK-VR2-1118-2008,VEMCO,VR2,,,1118,46.8541,-65.69723,2008-04-24T00:00:00Z,2008-10-08T00:00:00Z,ASF,ManmadePlatform,ASF_ASF-NEAR DOYLES BROOK,NaN,NaN,,,NaN
ASF,OTN-Global,ASF-Portage Island 5-VR2-2605-2008,OTN-GlobalASFASF-Portage Island 5-VR2-2605-2008,VEMCO,VR2,,,2605,47.14597,-65.04337,2008-05-01T00:00:00Z,2008-10-09T00:00:00Z,ASF,ManmadePlatform,ASF_ASF-Portage Island 5,NaN,NaN,recovered by fisheries officer,,NaN
ASF,OTN-Global,ASF-Red Rock-VR2W-106579-2011,OTN-GlobalASFASF-Red Rock-VR2W-106579-2011,VEMCO,VR2W,,,106579,50.33147,-64.25597,2011-08-14T00:00:00Z,2011-10-02T00:00:00Z,ASF,ManmadePlatform,ASF_ASF-Red Rock,NaN,NaN,,,NaN
ASF,OTN-Global,ASF-Rest 1-VR2W-113156-2011,OTN-GlobalASFASF-Rest 1-VR2W-113156-2011,VEMCO,VR2W,,,113156,48.003,-66.69583,2011-05-18T00:00:00Z,2011-06-23T00:00:00Z,ASF,ManmadePlatform,ASF_ASF-Rest 1,NaN,NaN,,,NaN
ASF,OTN-Global,ASF-Rest 2-VR2W-113154-2011,OTN-GlobalASFASF-Rest 2-VR2W-113154-2011,VEMCO,VR2W,,,113154,48.00512,-66.69603,2011-05-18T00:00:00Z,2011-06-23T00:00:00Z,ASF,ManmadePlatform,ASF_ASF-Rest 2,NaN,NaN,,,NaN
ASF,OTN-Global,ASF-CASC1-VR2W-113162-2012,OTN-GlobalASFASF-CASC1-VR2W-113162-2012,VEMCO,VR2W,,,113162,48.20829,-65.90458,2012-05-23T12:39:00Z,2012-06-17T00:00:00Z,ASF,ManmadePlatform,ASF_ASF-CASC1,4.0,2.5,,,NaN
ASF,OTN-Global,ASF-CASC2-VR2W-113163-2012,OTN-GlobalASFASF-CASC2-VR2W-113163-2012,VEMCO,VR2W,,,113163,48.1896,-65.90367,2012-05-23T12:52:00Z,2012-06-17T00:00:00Z,ASF,ManmadePlatform,ASF_ASF-CASC2,3.0,2.0,,,NaN
ASF,OTN-Global,ASF-Chatam-VR2W-105400-2012,OTN-GlobalASFASF-Chatam-VR2W-105400-2012,VEMCO,VR2W,,,105400,47.02102,-65.49572,2012-04-18T00:00:00Z,2012-09-08T00:00:00Z,ASF,ManmadePlatform,ASF_ASF-Chatam,6.3,NaN,,,NaN
ASF,OTN-Global,ASF-WAB001-VR2-1173-2008,OTN-GlobalASFASF-WAB001-VR2-1173-2008,VEMCO,VR2,,,1173,51.20767,-56.77163,2008-06-17T14:00:00Z,2008-10-07T00:00:00Z,ASF,ManmadePlatform,ASF_ASF-WAB001,7.08,4.61,,,NaN
ASF,OTN-Global,ASF-WAB002-VR2-1175-2008,OTN-GlobalASFASF-WAB002-VR2-1175-2008,VEMCO,VR2,,,1175,51.20767,-56.77163,2008-06-17T00:00:00Z,2008-10-07T00:00:00Z,ASF,ManmadePlatform,ASF_ASF-WAB002,NaN,NaN,,,NaN
ASF,OTN-Global,ASF-Barnaby Isand-VR2-1125-2008,OTN-GlobalASFASF-Barnaby Isand-VR2-1125-2008,VEMCO,VR2,,,1125,46.91137,-65.62205,2008-04-24T00:00:00Z,2008-10-07T00:00:00Z,ASF,ManmadePlatform,ASF_ASF-Barnaby Isand,NaN,NaN,,,NaN
ASF,OTN-Global,ASF-Barnaby Isand-VR2W-113157-2011,OTN-GlobalASFASF-Barnaby Isand-VR2W-113157-2011,VEMCO,VR2W,,,113157,46.91093,-65.62212,2011-06-21T00:00:00Z,2011-07-16T00:00:00Z,ASF,ManmadePlatform,ASF_ASF-Barnaby Isand,NaN,NaN,,,NaN
